novela,total_chunks,total_chars,avg_chunk_size
La_de_Bringas_314648,638,469846,736.435736677116
El_sombrero_de_tres_picos_pg29506,584,502891,861.1147260273973
Tristana_pg66979,478,346367,724.6171548117155
La_gaviota_pg23600,743,598600,805.6527590847913
Pepita_Jimenez_pg17223,472,357432,757.271186440678
Su_unico_hijo_pg17341,757,583038,770.1955085865258
La_desheredada_pg25956,1217,907676,745.8307313064913
Peñas_arriba_pg24127,1117,832407,745.2166517457475
Platero_y_yo_pg9980,295,242984,823.6745762711864
Los_pazos_de_Ulloa_18005-8_UTF8,741,557763,752.7165991902834
